0.28768,0.15877,-0.12058,0.084586
0.32055,0.16841,0.23419,0.093223
0.18198,0.091201,0.080171,0.057059
1.2212,0.57276,0.17167,0.30299
0.28768,0.13337,-0.01,0.11895
0.21317,0.098232,0.12058,0.062839
0.79281,0.32912,0.59015,0.22911
0.4847,0.19062,0.32055,0.14399
0.40006,0.15531,0.37689,0.12699
0.99622,0.38676,-0.12058,0.28664
0.90764,0.33656,0.79281,0.24094
1.1881,0.41281,0.38842,0.26452
0.12058,0.036645,0.27686,0.035892
0.30952,0.094064,0.34283,0.086915
0.90764,0.23329,0.92873,0.28224
0.33165,0.078852,0.30952,0.094064
0.75817,0.1148,0.47223,0.16407
0.53606,0.056949,0.35409,0.14699
