Authors,Journal,1st_author
"VS Kwan, OP John, RW Robins, LL Kuang",JPSP,Kwan
"WB Mendes, B Major, S McCoy, J Blascovich",JPSP,Mendes
"A Santos, C Rondan, DB Rosset, D Da Fonseca, C Deruelle",PS,Santos
"A Weiss, TC Bates, M Luciano",PS,Weiss
"AC Krendl, JA Richeson, WM Kelley, TF Heatherton",PS,Krendl
"AD Galinsky, WW Maddux, D Gilin, JB White",PS,Galinsky
"AL Alter, DM Oppenheimer",PS,Alter
"AW Kruglanski, A Pierro",PS,Kruglanski
"B Dessalegn, B Landau",PS,Dessalegn
"B Eitam, RR Hassin, Y Schul",PS,Eitam
"BC Malt, S Gennari, M Imai, E Ameel, N Tsuda, A Majid",PS,Malt
"C Bannard, D Matthews",PS,Bannard
"C Farris, TA Treat, RJ Viken, RM McFall",PS,Farris
"C Janiszewski, D Uy",PS,Janiszewski
"C McKinstry, R Dale, MJ Spivey",PS,McKinstry
"DA Armor, C Massey, AM Sackett",PS,Armor
"DR Addis, AT Wong, DL Schacter",PS,Addis
"E Nurmsoo, P Bloom",PS,Nurmsoo
"E Vul, H Pashler",PS,Vul
"E Vul, M Nieuwenstein, N Kanwisher",PS,Vul
"EJ Masicampo, RF Baumeister",PS,Masicampo
"FK Anggoro, SR Waxman, DL Medin",PS,Anggoro
"G Hajcak, D Foti",PS,Hajcak
"G Tabibnia, AB Satpute, MD Lieberman",PS,Tabibnia
"GA Alvarez, A Oliva",PS,Alvarez
"GF Woodman, MS Kang, K Thompson, JD Schall",PS,Woodman
"GP Lau, AC Kay, SJ Spencer",PS,Lau
"GP Lau, AC Kay, SJ Spencer",PS,Lau
"IJ Deary, GD Batty, CR Gale",PS,Deary
"J Winawer, AC Huk, L Boroditsky",PS,Winawer
"J Zaki, N Bolger, K Ochsner",PS,Zaki
"JA Richeson, S Trawalter",PS,Richeson
"JA Richeson, S Trawalter",PS,Richeson
"JM Toro, M Nespor, J Mehler, LL Bonatti",PS,Toro
"JR Crosby, B Monin, D Richardson",PS,Crosby
"JS Nairne, JN Pandeirada, SR Thompson",PS,Nairne
"JT Larsen, AR McKibban",PS,Larsen
"KA Ranganath, BA Nosek",PS,Ranganath
"KD Vohs, JW Schooler",PS,Vohs
"KH Trzesniewski, MB Donnellan, RW Robins",PS,Trzesniewski
"KI Ruys, DA Stapel",PS,Ruys
"L Demany, W Trost, M Serman, C Semal",PS,Demany
"LE Williams, JA Bargh",PS,Williams
"LN Jefferies, D Smilek, E Eich, JT Enns",PS,Jefferies
"M Tamir, C Mitchell, JJ Gross",PS,Tamir
"N Epley, S Akalis, A Waytz, JT Cacioppo",PS,Epley
"N Epley, S Akalis, A Waytz, JT Cacioppo",PS,Epley
"N Halevy, G Bornstein, L Sagiv",PS,Halevy
"N Janssen, FX Alario, A Caramazza",PS,Janssen
"O Ayduk, E Kross",PS,Ayduk
"P Bressan, D Stranieri",PS,Bressan
"P Bressan, D Stranieri",PS,Bressan
"S Forti, GW Humphreys",PS,Forti
"S Schnall, J Benton, S Harvey",PS,Schnall
SA Burt,PS,Burt
"SE Palmer, T Ghose",PS,Palmer
"SJ Heine, EE Buchtel, A Norenzayan",PS,Heine
"SK Moeller, MD Robinson, DL Zabelina",PS,Moeller
"T Brosch, D Sander, G Pourtois, KR Scherer",PS,Brosch
"T Ganel, M Tanzer, MA Goodale",PS,Ganel
"T Goschke, G Dreisbach",PS,Goschke
"T Hedden, S Ketay, A Aron, HR Markus, JD Gabrieli",PS,Hedden
"T Kraljic, AG Samuel, SE Brennan",PS,Kraljic
"V Lobue, JS DeLoache",PS,Lobue
"VL Brescoll, EL Uhlmann",PS,Brescoll
"W von Hippel, L Brener, C von Hippel",PS,von Hippel
"WA Cunningham, JJ Van Bavel, IR Johnsen",PS,Cunningham
"X Dai, K Wertenbroch, CM Brendl",PS,Dai
"YX Ho, MS Landy, LT Maloney",PS,Ho
"Z Estes, M Verges, LW Barsalou",PS,Estes
