T.N.O,Tails.O,T_pval_USE..O.,T.pval.O,T.N.R,Tails.R,T.pval.USE.R,T.pval.R,T.r.O,T.r.R,Original.Author.s.Assessment,T.df1.O,T.df1.R,T.df2.O,T.df2.R
46,,0.044070981,0.05,70,,0.190467907,0.19,0.259958534,0.15539539,1,2,2,43,67
94,,0.009719762,0.05,141,,0.233830099,0.235,0.268278965,-0.101637251,2,1,1,90,137
50,,0.033841139,0.05,50,2,0.086,0.086,0.3,0.27,9,41,41,,
,,,,,,,,,,,,,,
52,,0.000282953,0.001,150,,0.007708395,0.008,0.503449638,0.217562252,1,1,1,,
,,,,,,,,,,,,,,
85,,0.02102091,0.02,140,,0.140627311,0.14,0.212014281,0.118808574,1,2,2,82,137
55,,0.003371756,0.01,51,,0.929110139,0.928,0.395559206,0.013045451,9,1,1,51,47
153,,0.033382483,0.05,,,,,0.172120148,,,1,,151,
163,,0.477948177,0.48,304,,0.881922196,0.87,0.139816632,0.0294047,1,1,1,26,26
193,,,0.001,,,,,,,,,,,
116,,0.00059829,0.001,,,,,0.326513519,,,1,,105,
81,,0.00933879,0.009,,,,,0.298295838,,,1,,73,
91,,0.003071238,0.01,76,,0.2649653,0.265,0.317462994,-0.1351,2,1,1,83,68
28,1,0.036392019,0.05,61,1,0.011765834,0.01175,0.344312999,0.28970838,1,1,1,26,59
41,,0.01868282,0.05,,,,,0.395527139,,1,1,,33,
49,,0.003107906,0.001,,,,,0.413966332,,,1,,47,
90,,0.000819277,0.001,1490,2,0.154430586,0.154,0.378274916,-0.036935346,9,1,1,73,1486
102,,3.61E-52,0.01,,,,,0.91,,,,,,
104,,0.012738074,0.05,,,,,0.243517826,,,1,,102,
42,,0.000857784,0.001,,,,,0.469332403,,,1,,40,
1946,,,0.05,,,,,,,,14,,,
28,,8.06E-05,0.001,,,,,0.842545902,,,1,,13,
146,,0.014277405,0.014,,,,,0.23593488,,,2,,72,
236,,0.050342933,0.05,1146,,0.533880559,0.53,0.127392361,0.018376516,1,1,1,,
42,,0.00386326,0.01,,,,,0.446647979,,9,1,,38,
36,2,0.021595498,0.05,47,2,0.132031044,0.132,0.381744212,-0.222920955,1,1,1,34,45
86,2,0.039641746,0.92,158,2,0.189435742,0.189,0.222330235,0.104941786,1,1,1,84,156
91,,4.49E-136,,,,,,0.99,,,,,,
38,1,0.034799408,0.035,,,,,0.403632537,,,1,,19,
280,2,5.76E-24,0.001,144,,0.277177119,0.28,0.554427187,0.091162691,1,1,1,278,142
59,,0.011256115,0.947,120,,0.013965691,0.014,0.333441051,0.225764222,1,1,1,55,116
141,,0.016232104,0.05,51,,0.007800372,0.01,0.701088742,0.750404422,1,1,1,9,9
126,,1.69E-18,0.99,177,,4.59E-35,0,0.681152182,0.763508789,1,1,1,124,175
32,,0.000647885,0.99,32,2,0.0000514,0.0001,0.570693584,0.652730428,9,1,1,30,30
32,,0.00292708,0.97,8,2,0.191700924,0.197,0.501799075,-0.450187899,1,1,1,31,8
173,2,1.18E-04,0.01,140,2,0.000095,0.001,0.28771881,0.322727228,1,1,1,172,139
