Authors
"DA Armor, C Massey, AM Sackett"
"KA Ranganath, BA Nosek"
"PW Eastwick, EJ Finkel"
"M Reynolds, D Besner"
"SM McCrea"
"JR Schmidt, D Besner"
"N Janssen, W Schirm, BZ Mahon, A Caramazza"
"JA Richeson, S Trawalter"
"T Makovski, R Sussman, YV Jiang"
"AL Alter, DM Oppenheimer"
"CP Beaman, I Neath, AM Surprenant"
"KR Morrison, DT Miller"
"E Harmon-Jones, C Harmon-Jones, M Fearn, JD Sigelman, P Johnson"
"JE Marsh, F Vachon, DM Jones"
"MD Henderson, Y de Liver, PM Gollwitzer"
"JL Risen, T Gilovich"
"B Eitam, RR Hassin, Y Schul"
"G Hajcak, D Foti"
"NO Rule, N Ambady"
"X Dai, K Wertenbroch, CM Brendl"
"DM Amodio, PG Devine, E Harmon-Jones"
"B Liefooghe, P Barrouillet, A Vandierendonck, V Camos"
"MJ Yap, DA Balota, CS Tse, D Besner"
"CR Cox, J Arndt, T Pyszczynski, J Greenberg, A Abdollahi, S Solomon"
"L Sahakyan, PF Delaney, ER Waldum"
"GA Alvarez, A Oliva"
"JS Nairne, JN Pandeirada, SR Thompson"
"SK Moeller, MD Robinson, DL Zabelina"
"NB Turk-Browne, PJ Isola, BJ Scholl, TA Treat"
"EP Lemay, MS Clark"
"EJ Masicampo, RF Baumeister"
"JT Larsen, AR McKibban"
"D Albarracên, IM Handley, K Noguchi, KC McCulloch, H Li, J Leeper, RD Brown, A Earl, WP Hart"
"J Correll"
"B Dessalegn, B Landau"
"H Ersner-Hershfield, JA Mikels, SJ Sullivan, LL Carstensen"
"P Fischer, T Greitemeyer, D Frey"
"GP Lau, AC Kay, SJ Spencer"
"A Roelofs"
"DB Centerbar, S Schnall, GL Clore, ED Garvin"
"T Goschke, G Dreisbach"
"C McKinstry, R Dale, MJ Spivey"
"D Albarracên, IM Handley, K Noguchi, KC McCulloch, H Li, J Leeper, RD Brown, A Earl, WP Hart"
"C Janiszewski, D Uy"
"N Shnabel, A Nadler"
"LE Williams, JA Bargh"
"P Bressan, D Stranieri"
"P Bressan, D Stranieri"
"S Schnall, J Benton, S Harvey"
"N Epley, S Akalis, A Waytz, JT Cacioppo"
"Z Estes, M Verges, LW Barsalou"
"C Mitchell, S Nash, G Hall"
"N Janssen, FX Alario, A Caramazza"
"KD Vohs, JW Schooler"
"JJ Exline, RF Baumeister, AL Zell, AJ Kraft, CV Witvliet"
"PA Goff, CM Steele, PG Davies"
"SL Murray, JL Derrick, S Leder, JG Holmes"
"BK Payne, MA Burkley, MB Stokes"
"SE Palmer, T Ghose"
"E Nurmsoo, P Bloom"
"JR Crosby, B Monin, D Richardson"
"L Demany, W Trost, M Serman, C Semal"
"S Forti, GW Humphreys"
"LS Colzato, MT Bajo, W van den Wildenberg, D Paolieri, S Nieuwenhuis, W La Heij, B Hommel"
"TJ Pleskac"
"CJ Berry, DR Shanks, RN Henson"
"BC Storm, EL Bjork, RA Bjork"
"AL Morris, ML Still"
"CJ Soto, OP John, SD Gosling, J Potter"
"C Farris, TA Treat, RJ Viken, RM McFall"
"M Tamir, C Mitchell, JJ Gross"
"V Purdie-Vaughns, CM Steele, PG Davies, R Ditlmann, JR Crosby"
"KL Blankenship, DT Wegener"
"K Oberauer"
"V Lobue, JS DeLoache"
"DR Addis, AT Wong, DL Schacter"
"S Farrell"
"D Mirman, JS Magnuson"
"K Fiedler"
"P Fischer, S Schulz-Hardt, D Frey"
"G Tabibnia, AB Satpute, MD Lieberman"
"CS Dodson, J Darragh, A Williams"
"S Pacton, P Perruchet"
"SJ Heine, EE Buchtel, A Norenzayan"
"B Monin, PJ Sawyer, MJ Marquez"
"E Vul, H Pashler"
"E van Dijk, GA van Kleef, W Steinel, I van Beest"
"M Couture, D Lafond, S Tremblay"
"J Winawer, AC Huk, L Boroditsky"
"PA White"
"D Ganor-Stern, J Tzelgov"
"KE Stanovich, RF West"
"E Vul, M Nieuwenstein, N Kanwisher"
"M Bassok, SF Pedigo, AT Oskarsson"
"J F_rster, N Liberman, S Kuschel"
"JI Campbell, ND Robert"
"N Halevy, G Bornstein, L Sagiv"
