0.27657,0.14022,0.14158,0.062543,1,52,257
0.27411,0.13756,-0.087496,0.060745,1,54,276
0.29763,0.13644,-0.054856,0.06741,1,55,222
0.48533,0.21475,0.67186,0.10707,1,23,94
0.39602,0.17496,0.14959,0.088038,1,34,130
0.28539,0.12039,0.14748,0.06455,1,0,0
0.4096,0.16551,-0.068423,0.091558,1,38,121
0.27586,0.11146,-0.065797,0.059987,1,82,281
0.48861,0.18762,0.3708,0.10872,1,30,87
0.14193,0.054233,0.028428,0.03145,1,0,0
0.20334,0.0714,0.11657,0.045815,1,198,478
0.81729,0.2857,0.18483,0.17072,1,14,35
0.22678,0.075593,0.1844,0.049752,1,0,0
0.3857,0.12319,0.11027,0.098872,0,68,103
0.58274,0.14434,0.37746,0.127,1,0,0
0.81834,0.20033,0.6832,0.17152,1,28,37
0.69671,0.16945,0.4049,0.14702,1,38,48
1.0799,0.25884,-0.07541,0.20753,0,18,24
0.74374,0.1291,0.35841,0.16013,1,0,0
1.9638,0.33138,1.1845,0.31014,1,14,13
1.1442,0.17842,1.1948,0.24887,1,38,20
