-0.76,0.44,1
-0.45,0.17,2
-0.38,0.23,3
-0.05,0.08,4
0,0.27,5
0,0.14,5
0.01,0.09,6
0.027,0.175,7
0.03,0.15,8
0.04,0.05,9
0.05,0.06,10
0.13,0.11,11
0.13,0.15,7
0.15,0.09,12
0.16,0.08,13
0.17,0.07,14
0.19,0.45,15
0.29,0.09,16
0.35,0.13,17
0.7,0.45,18
0.9,0.18,19
0.98,0.15,20
