-0.38,0.23,0.38
0.13,0.11,0.92
-0.45,0.17,0.11
-0.05,0.08,0.13
0,0.27,0.59
0,0.14,0.59
0.15,0.09,0.5
0.98,0.15,0.2
0.17,0.07,0.09
0.05,0.06,0.84
0.29,0.09,0.54
0.16,0.08,0.55
0.04,0.05,0.12
-0.76,0.44,0.77
0.01,0.09,0.03
0.027,0.175,0.51
0.13,0.15,0.54
0.7,0.45,0.96
0.35,0.13,0.5
0.19,0.45,0.75
0.03,0.15,0.31
0.9,0.18,0.92
Estimate,Standard Error,Prevalence
